swadesh.language,swadesh.english,HScollapsed,poabodypartmerge,swadesh.twohands,swadesh.pmv
English,all,y4,Lateral,true,Y_down
English,animal,y4,Horizontal,true,Z_front
English,bad,n1,Vertical,false,Z_front
English,because,y1,Hand,false,Z_back
English,bird,y1,Head,false,UNDEF
English,black,y0,Head,false,Y_down
English,blood,n1,Head,false,Y_down
English,boring,y4,Head,false,Z_back
English,brother,y0,Lateral,true,Z_front
English,bug,y4,Horizontal,false,Z_front
English,cat,y4,Head,true,X_right
English,child,y4,Horizontal,false,Y_down
English,correct,y0,Hand,false,Y_down
English,count,y4,Lateral,true,Y_down
English,dance,n2,Vertical,true,X_left
English,day,y4,Vertical,true,Y_up
English,die,n2,Horizontal,true,Y_down
English,dirty,y4,Horizontal,true,X_left
English,dog,n2,Horizontal,true,Y_down
English,dry,y4,Head,true,Y_down
English,dust,y4,Horizontal,true,UNDEF
English,earth,n4,Lateral,true,Y_down
English,egg,y1,Hand,false,Y_down
English,father,n2,Hand,false,Y_down
English,feather,y4,Lateral,true,X_right
English,fire,y4,Horizontal,true,Y_up
English,fish,y4,Head,false,UNDEF
English,flower,y1,Head,false,X_right
English,full,y4,Hand,false,Y_up
English,good,y0,Vertical,false,Z_front
English,grass,y4,Arm,false,X_right
English,grease,y4,Horizontal,true,UNDEF
English,green,n0,Hand,false,Z_back
English,heavy,y4,Horizontal,true,Y_down
English,how,n4,Lateral,true,X_left
English,husband,y1,Hand,false,X_left
English,ice,y4,Horizontal,true,UNDEF
English,if,n1,Hand,false,Y_down
English,kill,n1,Hand,false,UNDEF
English,laugh,y1,Head,false,Y_down
English,leaf,y1,Head,false,X_right
English,lie,n1,Head,false,X_right
English,live,n1,Torso,false,Y_down
English,long,y4,Head,true,Y_down
English,look_for,n2,Vertical,true,Z_front
English,man,y4,Head,false,UNDEF
English,meat,y4,Head,false,Y_down
English,moon,y1,Vertical,false,Y_down
English,mother,n3,Hand,false,UNDEF
English,mountain,n4,Lateral,true,Y_up
English,name,n2,Head,false,Z_front
English,narrow,n2,Lateral,true,Z_front
English,new,y4,Hand,false,Y_up
English,night,y4,Head,false,Y_down
English,not,y4,Horizontal,true,X_right
English,old,n2,Head,false,Y_down
